underlying,etf,beta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
AFRM,,,-399.92486731,-456.511167,0.0,0.0,0.0,-44.82,5.014369686027593,0.0,0.0,-896.2416646239724,bucket_1,AFRU
AI,,,1000.80526146,0.0,0.0,0.0,-237.28,-30.04,0.0,0.0,0.0,733.4852614600001,bucket_2,AIYY
ALB,,,47.236354,92.224141,0.0,0.0,0.0,-5.8100000000000005,2.8480740102656728,0.0,0.0,136.49856901026567,bucket_1,ALBG
AMD,,,-11552.36775501,-305.782701,0.0,0.0,0.0,-65.73,2.3583610494039555,0.0,0.0,-11921.522094960595,bucket_1,AMDG
AMD,,,-11476.82029641,-687.165805,0.0,0.0,0.0,-87.94,4.971128105995401,0.0,0.0,-12246.954973304006,bucket_1,AMDL
AMD,,,896.15158561,0.0,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,762.54158561,bucket_2,AMDY
AMD,,,-11396.06678072,-778.438957,0.0,0.0,-21.85,-83.35,5.554434697060641,0.0,0.0,-12274.151303022942,bucket_1,AMUU
AMD,,,0.0,460.611969,0.0,0.0,0.0,0.0,66.70199749707758,0.0,0.0,527.3139664970776,bucket_2,AMYY
AMZN,,,-1348.42708525,-4.486614,0.0,0.0,-25.91,-63.08,0.17466125777821676,0.0,0.0,-1441.7290379922215,bucket_1,AMZU
AMZN,,,917.96394275,0.0,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,808.3839427500001,bucket_2,AMZW
AMZN,,,708.26038009,0.0,0.0,0.0,-96.86,-8.2,0.0,0.0,0.0,603.20038009,bucket_2,AMZY
AMZN,,,-25.55673062,-2677.101855,0.0,0.0,0.0,-73.66,54.75748250183703,0.0,0.0,-2721.561103118163,bucket_1,AMZZ
ANET,,,0.0,588.272315,0.0,0.0,0.0,-7.19,3.933908944420144,0.0,0.0,585.0162239444202,bucket_1,ANEL
APH,,,0.0,236.644348,0.0,0.0,0.0,-32.47,4.062889565548673,0.0,0.0,208.2372375655487,bucket_1,APHU
AAPL,,,37.66504405,0.0,0.0,0.0,-116.11,-25.32,0.0,0.0,0.0,-103.76495595,bucket_2,APLY
APP,,,-362.91065095,1024.665052,0.0,0.0,0.0,-30.830000000000002,12.26440347161636,0.0,0.0,643.1888045216164,bucket_1,APPX
ACHR,,,-112.28705202,177.874226,0.0,0.0,0.0,-31.38,10.446603512557486,0.0,0.0,44.65377749255748,bucket_1,ARCX
ARM,,,-195.87077272,-502.557416,0.0,0.0,0.0,-26.34,5.19659615331431,0.0,0.0,-719.5715925666857,bucket_1,ARMG
ARM,,,-237.86817473,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,-394.01817473,bucket_2,ARMW
ASML,,,-475.27748736,0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,-480.20748736,bucket_1,ASMG
ASML,,,-9.1e-07,-258.280409,0.0,0.0,-9.29,-97.49,19.952599309558106,0.0,0.0,-345.10781060044195,bucket_1,ASMU
ASTS,,,44.10290575,3284.88705,0.0,0.0,0.0,-106.46,39.759020581837206,0.0,0.0,3262.288976331837,bucket_1,ASTX
AVGO,,,-2766.00762588,-315.376705,0.0,0.0,0.0,-39.07,3.6541202124336416,0.0,0.0,-3116.8002106675667,bucket_1,AVGG
AVGO,,,-2419.1884019,-183.145247,0.0,0.0,-30.49,-69.02,2.723227383404083,0.0,0.0,-2699.1204215165953,bucket_1,AVL
AVAV,,,0.0,737.287711,0.0,0.0,0.0,-13.29,5.995779924999158,0.0,0.0,729.9934909249992,bucket_1,AVXX
BABA,,,306.03432341,0.0,0.0,0.0,-151.56,-10.63,0.0,0.0,0.0,143.84432341000002,bucket_2,BABO
BABA,,,267.56998575,0.0,0.0,0.0,0.0,-5.63,0.0,0.0,0.0,261.93998575,bucket_1,BABU
BABA,,,1314.43534722,736.101714,0.0,0.0,0.0,-19.44,3.6219990769795176,0.0,0.0,2034.7190602969795,bucket_1,BABX
BBAI,,,-673.1528816,-582.878393,0.0,0.0,0.0,-123.48,14.188281723564918,0.0,0.0,-1365.3229928764351,bucket_1,BAIG
BABA,,,0.0,185.031282,0.0,0.0,0.0,0.0,14.75215854157554,0.0,0.0,199.78344054157554,bucket_2,BBYY
BE,,,0.0,987.738898,0.0,0.0,0.0,0.0,20.758562831840738,0.0,0.0,1008.4974608318407,bucket_1,BEG
BE,,,0.0,-3750.247343,0.0,0.0,0.0,-68.52,46.52008552553231,0.0,0.0,-3772.2472574744675,bucket_1,BEX
BIDU,,,-62.95433125,0.0,0.0,0.0,0.0,-28.76,0.0,0.0,0.0,-91.71433125,bucket_1,BIDG
IBIT,,,-20.90621689,358.002244,-0.19,0.0,-22.34,-71.27,1.964598095477916,0.0,0.0,245.260625205478,bucket_1,BITU
IBIT,,,-273.86980463,466.496391,0.0,0.0,-16.07,-63.75,3.308518291717455,0.0,0.0,116.11510466171751,bucket_1,BITX
BLSH,,,172.07831225,929.090212,0.0,0.0,0.0,-20.77,11.178816577117907,0.0,0.0,1091.577340827118,bucket_1,BLSG
BMNR,,,-18.74156018,772.753156,0.0,0.0,0.0,-217.38,12.530467342636621,0.0,0.0,549.1620631626366,bucket_1,BMNG
BMNR,,,-9e-08,469.700715,0.0,0.0,0.0,-65.66,16.325639439458257,0.0,0.0,420.3663543494583,bucket_1,BMNU
BA,,,807.27888166,136.438612,0.0,0.0,0.0,-81.4,1.366822524478386,0.0,0.0,863.6843161844785,bucket_1,BOEG
BA,,,942.89318491,149.438272,0.0,0.0,-16.68,-57.019999999999996,1.5053940123062162,0.0,0.0,1020.1368509223062,bucket_1,BOEU
IBIT,,,-216.89492874,433.561661,0.0,0.0,0.0,-59.12,2.9144659581927295,0.0,0.0,160.46119821819272,bucket_1,BTCL
B,,,0.0,20.0524,0.0,0.0,0.0,-3.31,2.097630030988047,0.0,0.0,18.840030030988046,bucket_1,BU
BULL,,,-187.5993852,-89.368408,0.0,0.0,0.0,-43.52,2.4157408898290833,0.0,0.0,-318.07205231017093,bucket_1,BULG
BULL,,,0.0,-9.47897,0.0,0.0,0.0,0.0,1.4958031456069152,0.0,0.0,-7.983166854393085,bucket_1,BULX
CRCL,,,-193.14320405,-603.066977,0.0,0.0,0.0,-60.85,14.341239511441698,0.0,0.0,-842.7189415385583,bucket_1,CCUP
CEG,,,704.41800525,665.167538,0.0,0.0,0.0,-131.97,4.224942140812723,0.0,0.0,1241.8404853908128,bucket_1,CEGX
ASHR,,,-157.98968233,0.0,-0.85,0.0,-16.99,-18.54,0.0,0.0,0.0,-194.36968233,bucket_1,CHAU
CHNL,,,-100.31749225,0.0,0.0,0.0,-0.23,-4.97,0.0,0.0,0.0,-105.51749225,bucket_1,CHNU
CIFR,,,0.0,-1520.843349,0.0,0.0,0.0,-166.45,22.349158465988584,0.0,0.0,-1664.9441905340113,bucket_1,CIFG
CIFR,,,0.0,466.994806,0.0,0.0,0.0,0.0,12.215746359094476,0.0,0.0,479.21055235909444,bucket_1,CIFU
CLSK,,,0.0,-1835.875392,0.0,0.0,0.0,-81.67,30.060173952283836,0.0,0.0,-1887.4852180477162,bucket_1,CLSX
CMG,,,1461.25021477,116.021356,0.0,0.0,0.0,-55.03,1.3576450572057792,0.0,0.0,1523.5992158272056,bucket_1,CMGG
CNC,,,801.76991375,-4024.062398,0.0,0.0,0.0,-17.73,32.183848147153604,0.0,0.0,-3207.8386361028465,bucket_1,CNCG
COHR,,,0.0,-268.561398,0.0,0.0,0.0,-17.02,8.155295850163299,0.0,0.0,-277.42610214983665,bucket_1,COHX
COIN,,,-524.26187831,156.1431,0.0,0.0,0.0,-14.28,6.661477021804514,0.0,0.0,-375.7373012881955,bucket_1,COIA
COIN,,,109.63225106,129.757474,0.0,0.0,0.0,-17.9,5.655304157173978,0.0,0.0,227.14502921717397,bucket_1,COIG
COIN,,,2003.50306779,0.0,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,1853.77306779,bucket_2,COIW
COIN,,,2.99577804,79.51634,0.0,0.0,0.0,-21.76,8.187168945961405,0.0,0.0,68.9392869859614,bucket_1,CONL
COIN,,,-75.00743578,502.548803,0.0,0.0,-14.54,-64.0,6.766356456356783,0.0,0.0,355.7677236763568,bucket_1,CONX
COIN,,,91.66352075,0.0,0.0,0.0,-29.27,-4.07,0.0,0.0,0.0,58.32352075000001,bucket_2,CONY
COPX,,,625.06249527,582.201468,0.0,0.0,0.0,-41.980000000000004,4.883404747650933,0.0,0.0,1170.167368017651,bucket_1,COPZ
COST,,,-1.17399459,0.0,0.0,0.0,0.0,-89.69,0.0,0.0,0.0,-90.86399459,bucket_1,COTG
COIN,,,0.0,4345.576438,0.0,0.0,0.0,0.0,506.4315364562483,0.0,0.0,4852.007974456248,bucket_2,COYY
CORZ,,,-3021.79409631,-470.537854,0.0,0.0,0.0,-80.46,5.238597535066421,0.0,0.0,-3567.553352774934,bucket_1,COZX
CRCL,,,-422.39891339,-875.894686,0.0,0.0,0.0,-49.86,21.91016961478222,0.0,0.0,-1326.2434297752177,bucket_1,CRCA
CRCL,,,-10.19988844,59.865919,0.0,0.0,0.0,-104.39,24.89648439333437,0.0,0.0,-29.827485046665636,bucket_1,CRCG
CRDO,,,-1147.1494961,-3115.085751,0.0,0.0,0.0,-102.72,24.219625512008275,0.0,0.0,-4340.735621587993,bucket_1,CRDU
CRM,,,1399.69641568,810.994354,0.0,0.0,0.0,-72.98,2.6593571719798597,0.0,0.0,2140.37012685198,bucket_1,CRMG
CRML,,,0.0,776.684528,0.0,0.0,0.0,-330.08,54.99642737046617,0.0,0.0,501.6009553704662,bucket_1,CRMU
CRWV,,,166.73591073,1751.673377,0.0,0.0,0.0,-45.37,30.240994861519795,0.0,0.0,1903.2802825915198,bucket_1,CRWG
CRWD,,,1112.61186175,-1062.333454,0.0,0.0,0.0,-54.92,8.88461511873686,0.0,0.0,4.243022868736674,bucket_1,CRWL
CRWV,,,0.0,1095.845862,0.0,0.0,0.0,-38.2,23.24032361011285,0.0,0.0,1080.8861856101128,bucket_1,CRWU
CSCO,,,-1014.76422257,0.0,0.0,0.0,-25.45,-70.69,0.0,0.0,0.0,-1110.90422257,bucket_1,CSCL
CLS,,,0.0,372.105985,0.0,0.0,0.0,-27.78,12.943205330247917,0.0,0.0,357.26919033024785,bucket_1,CSEX
CVNA,,,198.24657324,396.320038,0.0,0.0,0.0,-16.87,3.216164859794014,0.0,0.0,580.9127760997941,bucket_1,CVNX
CVNA,,,1060.05958389,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,896.02958389,bucket_2,CVNY
KWEB,,,780.06238891,135.806346,0.0,0.0,-29.95,-11.42,2.0154875649039483,0.0,0.0,876.5142224749039,bucket_1,CWEB
CRWV,,,0.0,-950.594927,0.0,0.0,0.0,-135.54,29.366034974921934,0.0,0.0,-1056.7688920250782,bucket_1,CWVX
DJT,,,63.75572865,0.0,0.0,0.0,0.0,-14.69,0.0,0.0,0.0,49.065728650000004,bucket_1,DJTU
DKNG,,,0.0,-3.744201,0.0,0.0,0.0,0.0,2.502761469148171,0.0,0.0,-1.241439530851829,bucket_1,DKNX
DELL,,,-1053.44069688,-773.597481,0.0,0.0,0.0,-27.97,5.357656569954295,0.0,0.0,-1849.6505213100456,bucket_1,DLLL
DNN,,,0.0,327.159891,0.0,0.0,0.0,-22.560000000000002,3.8599517869845865,0.0,0.0,308.4598427869846,bucket_1,DNNG
DKNG,,,194.9998085,0.0,0.0,0.0,-88.37,-14.9,0.0,0.0,0.0,91.72980849999999,bucket_2,DRAY
DUOL,,,-609.4646779,-533.851862,0.0,0.0,0.0,-6.1,8.862828968950085,0.0,0.0,-1140.5537109310499,bucket_1,DUOG
LLY,,,354.42315841,0.0,0.0,0.0,-2.23,-44.27,0.0,0.0,0.0,307.92315841,bucket_1,ELIL
EOSE,,,-3.3e-07,-5280.043694,0.0,0.0,0.0,-104.61,55.11838020134089,0.0,0.0,-5329.535314128659,bucket_1,EOSU
XLE,,,-365.08183825,0.0,0.0,0.0,-25.87,-75.62,0.0,0.0,0.0,-466.57183825,bucket_1,ERX
ETHA,,,156.11443895,1887.778437,0.0,0.0,-4.4,-44.88,8.974074754673444,0.0,0.0,2003.5869507046732,bucket_1,ETHT
ETHA,,,-209.77005127,1524.05838,-0.81,0.0,-10.959999999999999,-32.64,11.428427150955745,0.0,0.0,1281.3067558809555,bucket_1,ETHU
ETOR,,,-590.81475387,-160.933903,0.0,0.0,0.0,-37.06,2.3019320276602238,0.0,0.0,-786.5067248423398,bucket_1,ETRL
ETHA,,,1124.6968326,-271.935022,0.0,0.0,0.0,-59.95,10.255075558170153,0.0,0.0,803.0668861581702,bucket_1,ETU
META,,,484.2871353,140.929005,0.0,0.0,0.0,-45.15,2.2267760118872535,0.0,0.0,582.2929163118873,bucket_1,FBL
META,,,175.95805756,0.0,0.0,0.0,-152.97,-5.91,0.0,0.0,0.0,17.078057559999987,bucket_2,FBY
META,,,8.40684483,2922.168041,0.0,0.0,-1531.72,-132.69,86.52127549152686,0.0,0.0,1352.6861613215267,bucket_2,FBYY
FCX,,,0.0,-133.127902,0.0,0.0,0.0,-9.950000000000001,5.142564848245404,0.0,0.0,-137.9353371517546,bucket_1,FCXG
FIGR,,,-2192.12317856,-1649.580288,0.0,0.0,0.0,-188.65,18.004702550918626,0.0,0.0,-4012.3487640090816,bucket_1,FGRU
FIG,,,-142.94985871,2507.994394,0.0,0.0,0.0,-21.06,11.129208645914625,0.0,0.0,2355.1137439359145,bucket_1,FIGG
FLY,,,0.0,563.830682,0.0,0.0,0.0,-107.33,44.19231603370371,0.0,0.0,500.69299803370376,bucket_1,FLYT
FUTU,,,-26.91706325,0.0,0.0,0.0,0.0,-5.57,0.0,0.0,0.0,-32.487063250000006,bucket_1,FUTG
GDX,,,-497.19994005,1164.457076,0.0,0.0,0.0,-19.38,3.905880463290291,0.0,0.0,651.7830164132902,bucket_1,GDXU
GEMI,,,0.0,-452.839587,0.0,0.0,0.0,0.0,16.128034513498523,0.0,0.0,-436.7115524865015,bucket_1,GEMG
GEV,,,0.0,20.852,0.0,0.0,0.0,0.0,1.2695496393772872,0.0,0.0,22.12154963937729,bucket_1,GEVG
GEV,,,-2045.13601081,-331.161172,0.0,0.0,0.0,-59.15,3.8538334754695156,0.0,0.0,-2431.5933493345306,bucket_1,GEVX
GOOGL,,,-4.41702962,-2105.456732,0.0,0.0,-26.67,-79.58,27.4425287824574,0.0,0.0,-2188.6812328375427,bucket_1,GGLL
GLXY,,,85.60187086,197.54155,0.0,0.0,0.0,0.0,5.057611266059786,0.0,0.0,288.2010321260598,bucket_1,GLGG
GLW,,,-2.08726038,114.31367,0.0,0.0,0.0,-4.84,3.1288549008762403,0.0,0.0,110.51526452087623,bucket_1,GLWG
GLXY,,,-1402.89281949,-993.015722,0.0,0.0,0.0,-99.97,18.678212896888496,0.0,0.0,-2477.2003285931114,bucket_1,GLXU
GME,,,0.0,81.280389,0.0,0.0,0.0,-13.91,1.4203577502352596,0.0,0.0,68.79074675023526,bucket_1,GMEU
GOOGL,,,-5e-07,-2962.622549,0.0,0.0,0.0,-43.79,31.98702868010459,0.0,0.0,-2974.4255208198956,bucket_1,GOOX
GOOGL,,,270.42614422,0.0,0.0,0.0,-118.94,-13.03,0.0,0.0,0.0,138.45614422000003,bucket_2,GOOY
GRAB,,,128.86602552,0.0,0.0,0.0,0.0,-117.64,0.0,0.0,0.0,11.226025519999993,bucket_1,GRAG
XOP,,,-1236.34993529,-3.62313,0.0,0.0,-19.71,-39.68,1.6345813331480925,0.0,0.0,-1297.728483956852,bucket_1,GUSH
HIMS,,,126.36585056,1058.040301,0.0,0.0,0.0,-52.120000000000005,15.575071440352625,0.0,0.0,1147.8612230003523,bucket_1,HIMZ
HL,,,253.84872575,0.0,0.0,0.0,0.0,-10.15,0.0,0.0,0.0,243.69872575,bucket_1,HLXX
HIMS,,,0.0,563.694051,0.0,0.0,-350.15,-28.14,29.225768549444656,0.0,0.0,214.62981954944465,bucket_2,HMYY
HOOD,,,138.14680455,425.810601,0.0,0.0,0.0,-21.57,5.747326869556062,0.0,0.0,548.134732419556,bucket_1,HODU
HOOD,,,87.2547974,305.965178,0.0,0.0,0.0,-11.34,4.722013611469594,0.0,0.0,386.6019890114696,bucket_1,HOOG
HOOD,,,2179.32418598,0.0,0.0,0.0,-508.68,-11.950000000000001,0.0,0.0,0.0,1658.69418598,bucket_2,HOOW
HOOD,,,81.50204354,351.099106,0.0,0.0,0.0,-12.61,5.56547246175337,0.0,0.0,425.55662200175334,bucket_1,HOOX
HOOD,,,1525.86069875,0.0,0.0,0.0,-160.41,-9.24,0.0,0.0,0.0,1356.21069875,bucket_2,HOOY
HOOD,,,0.0,428.378475,0.0,0.0,0.0,0.0,105.46472546058224,0.0,0.0,533.8432004605822,bucket_2,HOYY
HUT,,,-2350.89567614,-4982.828101,0.0,0.0,0.0,-148.72,31.716004015964003,0.0,0.0,-7450.727773124036,bucket_1,HUTG
IBM,,,-34.50246425,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,-35.592464250000006,bucket_1,IBX
INTC,,,-16205.98103698,-1796.661855,0.0,0.0,0.0,-119.69,10.08504437397091,0.0,0.0,-18112.247847606028,bucket_1,INTW
IONQ,,,-2771.29916173,-1834.613949,0.0,0.0,0.0,-150.69,12.159275997408075,0.0,0.0,-4744.443834732591,bucket_1,IONL
IONQ,,,-141.77524822,-826.244078,0.0,0.0,0.0,-48.839999999999996,14.262941660025854,0.0,0.0,-1002.5963845599741,bucket_1,IONX
IONQ,,,0.0,244.524829,0.0,0.0,-2091.64,-244.27,304.4007148943856,0.0,0.0,-1786.9844561056143,bucket_2,IOYY
IREN,,,0.0,533.034642,0.0,0.0,0.0,-59.28,31.82448002552851,0.0,0.0,505.5791220255285,bucket_1,IRE
IREN,,,0.0,-852.737236,0.0,0.0,0.0,-200.71,30.578328793702102,0.0,0.0,-1022.8689072062979,bucket_1,IREG
