ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
ELIL,LLY,1.992902,268,ols,0.1343629999999999,10000,0.1343629999999999,False,False,19.102500915527344,0.1343629999999999,1.0,False,True,False,False,False,False,False,False,False,0.795943,0.773044,0.287338,0.276734,0.393392,0.389174,0.0107,yfinance,0.0,0.03595,0.199508,0.196242,True,0.287338,0.152975,0.152975,0.4982255,0.5978705999999999,0.5,0.5978705999999999,bucket_1,,False,0.1343629999999999,ETF_LS,775.4768589937208,-389.11941429820473,775.4768589937208,-389.11941429820473,2511.6283740725044,0.0,-0.0,2511.6283740725044,core_leveraged
METU,META,1.998303,469,ols,0.070593,200000,0.070593,False,False,30.614999771118164,0.070593,1.0,False,True,False,False,False,False,False,False,False,0.704984,0.710278,0.242305,0.239014,0.352577,0.354625,0.0102,yfinance,0.0,0.03595,0.170083,0.171528,True,0.242305,0.1717119999999999,0.1717119999999999,0.49957575,0.5994908999999999,0.5,0.5994908999999999,bucket_1,,False,0.070593,ETF_LS,1169.6165655787959,-585.3049140089346,1169.6165655787959,-585.3049140089346,24513.420974372308,0.0,-0.0,24513.420974372308,core_leveraged
MSFU,MSFT,1.991829,501,ols,0.034848,1000000,0.034848,False,False,30.68000030517578,0.034848,1.0,False,True,False,False,False,False,False,False,False,0.49505,0.489034,0.164456,0.161895,0.244865,0.243771,0.0098,yfinance,0.0,0.03595,0.104682,0.104154,True,0.164456,0.129608,0.129608,0.49795725,0.5975487,0.5,0.5975487,bucket_1,,False,0.034848,ETF_LS,1547.938139453758,-777.1440919143953,1547.938139453758,-777.1440919143953,2325.2161584797395,0.0,-0.0,2325.2161584797395,core_leveraged
MUU,MU,1.993591,382,ols,0.0507979999999999,350000,0.0507979999999999,False,False,231.0,0.0507979999999999,1.0,False,True,False,False,False,False,False,False,False,1.181563,1.17492,0.524207,0.516195,0.596517,0.58877,0.0101,yfinance,0.0,0.03595,0.398239,0.389144,True,0.524207,0.4734089999999999,0.4734089999999999,0.49839775,0.5980772999999999,0.5,0.5980772999999999,bucket_1,,False,0.0507979999999999,ETF_LS,5569.612848337303,-2793.7590249641494,5569.612848337303,-2793.7590249641494,11893.35973256204,0.0,-0.0,11893.35973256204,core_leveraged
NFXL,NFLX,1.995501,387,ols,0.054914,15000,0.054914,False,False,27.65999984741211,0.054914,1.0,False,True,False,False,False,False,False,False,False,0.678411,0.676021,0.237513,0.234389,0.336698,0.337295,0.0105,yfinance,0.0,0.03595,0.15889,0.15929,True,0.237513,0.182599,0.182599,0.49887525,0.5986503,0.5,0.5986503,bucket_1,,False,0.054914,ETF_LS,1713.9529454930419,-858.9085876143595,1713.9529454930419,-858.9085876143595,3835.062517256086,0.0,-0.0,3835.062517256086,core_leveraged
NVDU,NVDA,1.986703,501,ols,0.051242,10000,0.051242,False,False,127.44190216064452,0.051242,1.0,False,True,False,False,False,False,False,False,False,0.669885,0.669958,0.348912,0.343143,0.337567,0.336251,0.0092,yfinance,0.0,0.03595,0.156361,0.155492,True,0.348912,0.29767,0.29767,0.49667575,0.5960109,0.5,0.5960109,bucket_1,,False,0.051242,ETF_LS,3292.7821268063626,-1657.4103561560848,3292.7821268063626,-1657.4103561560848,12205.75591975643,0.0,-0.0,12205.75591975643,core_leveraged
ORCU,ORCL,2.0042,104,ols,0.107949,300000,0.107949,False,False,14.770000457763672,0.107949,1.0,False,True,False,False,False,False,False,False,False,1.128015,1.133744,0.441005,0.400184,0.582696,0.614101,0.0097,yfinance,0.0,0.03595,0.387478,0.4253,True,0.409569,0.3330559999999999,0.30162,0.50105,0.60126,0.50105,0.60126,bucket_1,,False,0.107949,ETF_LS,1881.2377113806895,-938.6476955297323,1881.2377113806895,-938.6476955297323,5423.420921149313,0.0,-0.0,5423.420921149313,core_leveraged
PALU,PANW,2.004736,268,ols,0.059556,25000,0.059556,False,False,15.229999542236328,0.059556,1.0,False,True,False,False,False,False,False,False,False,0.704603,0.690627,0.258612,0.25279,0.3473,0.344513,0.0108,yfinance,0.0,0.03595,0.168396,0.166454,True,0.258612,0.199056,0.199056,0.501184,0.6014208,0.501184,0.6014208,bucket_1,,False,0.059556,ETF_LS,1806.8268360179177,-901.2791888896681,1806.8268360179177,-901.2791888896681,3671.47861442368,0.0,-0.0,3671.47861442368,core_leveraged
PLTU,PLTR,1.991898,339,ols,0.054694,400000,0.054694,False,False,46.119998931884766,0.054694,1.0,False,True,False,False,False,False,False,False,False,1.078932,1.059026,0.50882,0.498114,0.534192,0.530403,0.0097,yfinance,0.0,0.03595,0.327261,0.323276,True,0.50882,0.454126,0.454126,0.4979745,0.5975693999999999,0.5,0.5975693999999999,bucket_1,,False,0.054694,ETF_LS,5220.922083799439,-2621.0790330626564,5220.922083799439,-2621.0790330626564,14811.458435993702,0.0,-0.0,14811.458435993702,core_leveraged
QCMU,QCOM,2.00121,207,ols,0.073253,2000,0.073253,False,False,16.209999084472656,0.073253,1.0,False,True,False,False,False,False,False,False,False,0.636587,0.631827,0.219013,0.217949,0.323459,0.322709,0.0107,yfinance,0.0,0.03595,0.151509,0.151024,True,0.206959,0.14576,0.133706,0.5003025,0.600363,0.5003025,0.600363,bucket_1,,False,0.073253,ETF_LS,776.5540259010645,-388.0422473908608,776.5540259010645,-388.0422473908608,776.5540259010645,0.0,-0.0,776.5540259010645,core_leveraged
SHPU,SHOP,2.010158,178,ols,0.076111,35000,0.076111,False,False,16.600000381469727,0.076111,1.0,False,True,False,False,False,False,False,False,False,1.042724,1.029682,0.357969,0.351557,0.543468,0.552154,0.0109,yfinance,0.0,0.03595,0.347088,0.35675,True,0.354774,0.281858,0.278663,0.5025395,0.6030474,0.5025395,0.6030474,bucket_1,,False,0.076111,ETF_LS,2405.7503482168445,-1196.796643953781,2405.7503482168445,-1196.796643953781,2405.7503482168445,0.0,-0.0,2405.7503482168445,core_leveraged
SOFA,SOFI,1.986066,48,ols,0.055856,4000,0.055856,False,False,18.69879913330078,0.055856,1.0,False,True,False,False,False,False,False,False,False,0.890553,0.885523,0.341882,0.280914,0.538085,0.536287,0.0097,yfinance,0.0,0.03595,0.328661,0.32677,True,0.331179,0.286026,0.275323,0.4965165,0.5958198,0.5,0.5958198,bucket_1,,False,0.055856,ETF_LS,2885.458697162793,-1452.8513640346257,2885.458697162793,-1452.8513640346257,6894.899610016239,0.0,-0.0,6894.899610016239,core_leveraged
TSLL,TSLA,1.994157,501,ols,0.061291,550000,0.061291,False,False,13.168399810791016,0.061291,1.0,False,True,False,False,False,False,False,False,False,0.977241,0.968847,0.501263,0.489455,0.487462,0.486128,0.0083,yfinance,0.0,0.03595,0.279581,0.278293,True,0.501263,0.439972,0.439972,0.49853925,0.5982470999999999,0.5,0.5982470999999999,bucket_1,,False,0.061291,ETF_LS,4867.779566955029,-2441.0212269921717,4867.779566955029,-2441.0212269921717,17905.6283370756,0.0,-0.0,17905.6283370756,core_leveraged
TSMX,TSM,1.996,387,ols,0.145456,1200000,0.145456,False,False,69.0999984741211,0.145456,1.0,False,True,False,False,False,False,False,False,False,0.701019,0.700166,0.282005,0.27763,0.351192,0.348381,0.0099,yfinance,0.0,0.03595,0.168303,0.166348,True,0.282005,0.136549,0.136549,0.499,0.5988,0.5,0.5988,bucket_1,,False,0.145456,ETF_LS,775.8792261317368,-388.7170471601887,775.8792261317368,-388.7170471601887,5467.740536975403,0.0,-0.0,5467.740536975403,core_leveraged
YINN,FXI,2.97488,501,ols,0.012396,1200000,0.012396,False,False,35.57500076293945,0.012396,1.0,False,True,False,False,False,False,False,False,False,0.588215,0.588672,0.369509,0.366805,0.199919,0.200174,0.0134,yfinance,0.0,0.03595,0.201802,0.202102,True,0.369509,0.3571129999999999,0.3571129999999999,0.74372,0.892464,0.74372,0.892464,bucket_1,,False,0.012396,ETF_LS,4813.643249918128,-1618.0966122728069,4813.643249918128,-1618.0966122728069,4813.643249918128,0.0,-0.0,4813.643249918128,core_leveraged
MEXX,EWW,2.955176,501,ols,0.0758249999999999,7000,0.0758249999999999,False,False,33.22999954223633,0.0758249999999999,1.0,False,True,False,False,False,False,False,False,False,0.634551,0.631283,0.3033,0.2989,0.213739,0.212655,0.0123,yfinance,0.0,0.03595,0.214568,0.213233,True,0.3033,0.227475,0.227475,0.738794,0.8865527999999999,0.738794,0.8865527999999999,bucket_1,,False,0.0758249999999999,ETF_LS,1771.076223158115,-599.3132805484732,1771.076223158115,-599.3132805484732,1771.076223158115,0.0,-0.0,1771.076223158115,core_leveraged
KORU,EWY,2.933278,501,ols,0.029967,300000,0.029967,False,False,520.3800048828125,0.029967,1.0,False,True,False,False,False,False,False,False,False,1.095627,1.074376,0.394495,0.390574,0.370762,0.365437,0.0132,yfinance,0.0,0.03595,0.472471,0.461355,True,0.394495,0.3645279999999999,0.3645279999999999,0.7333195,0.8799834,0.7333195,0.8799834,bucket_1,,False,0.029967,ETF_LS,4494.237905153091,-1532.1554605983786,4494.237905153091,-1532.1554605983786,4494.237905153091,0.0,-0.0,4494.237905153091,core_leveraged
SOXL,SOXX,2.963813,501,ols,0.016586,2200000,0.016586,False,False,102.55999755859376,0.016586,1.0,False,True,False,False,False,False,False,False,False,0.973216,0.964512,0.546283,0.543042,0.326961,0.32266,0.0075,yfinance,0.0,0.03595,0.389208,0.381077,True,0.546283,0.529697,0.529697,0.74095325,0.8891439,0.74095325,0.8891439,bucket_1,,False,0.016586,ETF_LS,6766.083086604015,-2282.898106798241,6766.083086604015,-2282.898106798241,6766.083086604015,0.0,-0.0,6766.083086604015,core_leveraged
CWEB,KWEB,1.987759,501,ols,0.011878,1200000,0.011878,False,False,28.13010025024414,0.011878,1.0,False,True,False,False,False,False,False,False,False,0.527194,0.528578,0.191983,0.1889,0.263613,0.264428,0.0127,yfinance,0.0,0.03595,0.116431,0.116853,True,0.191983,0.180105,0.180105,0.49693975,0.5963277,0.5,0.5963277,bucket_1,,False,0.011878,ETF_LS,2791.7030548924145,-1404.4474480520096,2791.7030548924145,-1404.4474480520096,2791.7030548924145,0.0,-0.0,2791.7030548924145,core_leveraged
NUGT,GDX,1.976481,501,ols,0.008826,150000,0.008826,False,False,199.2250061035156,0.008826,1.0,False,True,False,False,False,False,False,False,False,0.912165,0.887938,0.216764,0.215004,0.454172,0.44822,0.0113,yfinance,0.0,0.03595,0.245457,0.240274,True,0.216764,0.207938,0.207938,0.49412025,0.5929443,0.5,0.5929443,bucket_1,,False,0.008826,ETF_LS,3230.313065331281,-1634.3759769667815,3230.313065331281,-1634.3759769667815,9530.39451878475,0.0,-0.0,9530.39451878475,core_leveraged
JNUG,GDXJ,1.973246,501,ols,0.034947,100000,0.034947,False,False,217.5200042724609,0.034947,1.0,False,True,False,False,False,False,False,False,False,1.01097,0.983201,0.253586,0.252449,0.500864,0.494122,0.0103,yfinance,0.0,0.03595,0.286175,0.279734,True,0.253586,0.2186389999999999,0.2186389999999999,0.4933115,0.5919738,0.5,0.5919738,bucket_1,,False,0.034947,ETF_LS,2694.02331423399,-1365.2749399892307,2694.02331423399,-1365.2749399892307,2694.02331423399,0.0,-0.0,2694.02331423399,core_leveraged
GUSH,XOP,2.010309,501,ols,0.032509,400000,0.032509,False,False,36.709999084472656,0.032509,1.0,False,True,False,False,False,False,False,False,False,0.544989,0.542054,0.153098,0.151764,0.271772,0.270516,0.0094,yfinance,0.0,0.03595,0.120727,0.120035,True,0.153098,0.120589,0.120589,0.50257725,0.6030926999999999,0.50257725,0.6030926999999999,bucket_1,,False,0.032509,ETF_LS,1493.2450555580194,-742.7937971515919,1493.2450555580194,-742.7937971515919,1493.2450555580194,0.0,-0.0,1493.2450555580194,core_leveraged
URAA,URA,1.927992,456,ols,0.026274,60000,0.026274,False,False,43.5,0.026274,1.0,False,True,False,False,False,False,False,False,False,0.916039,0.92009,0.398849,0.390229,0.482999,0.482942,0.013,yfinance,0.0,0.03595,0.255056,0.255007,True,0.398849,0.372575,0.372575,0.481998,0.5783976,0.5,0.5783976,bucket_1,,False,0.026274,ETF_LS,4915.640496253549,-2549.6166458437324,4915.640496253549,-2549.6166458437324,4915.640496253549,0.0,-0.0,4915.640496253549,core_leveraged
TQQQ,QQQ,2.971073,501,ols,0.008209,0,0.008209,False,False,59.459999084472656,0.008209,1.0,False,True,False,False,False,False,False,True,False,0.498288,0.496315,0.241335,0.238391,0.167683,0.166236,0.0082,yfinance,0.0,0.03595,0.161391,0.159976,True,0.241335,0.233126,0.233126,0.74276825,0.8913219,0.74276825,0.8913219,bucket_1,,False,0.008209,ETF_LS,3442.7630179062944,-1158.7608308198062,3442.7630179062944,-1158.7608308198062,3442.7630179062944,0.0,-0.0,3442.7630179062944,core_leveraged
SPXL,SPY,2.883221,501,ols,0.026997,250000,0.026997,False,False,238.2799072265625,0.026997,1.0,False,True,False,False,False,False,False,False,False,0.386466,0.385138,0.170904,0.169513,0.130086,0.128866,0.0084,yfinance,0.0,0.03595,0.122044,0.121186,True,0.170904,0.143907,0.143907,0.72080525,0.8649663,0.72080525,0.8649663,bucket_1,,False,0.026997,ETF_LS,1939.4761863005804,-672.6769076323252,1939.4761863005804,-672.6769076323252,1939.4761863005804,0.0,-0.0,1939.4761863005804,core_leveraged
URTY,IWM,3.00021,501,ols,0.055662,200000,0.055662,False,False,70.70999908447266,0.055662,1.0,False,True,False,False,False,False,False,False,False,0.584207,0.584947,0.255496,0.252891,0.196373,0.195425,0.0095,yfinance,0.0,0.03595,0.197115,0.196,True,0.255496,0.199834,0.199834,0.7500525,0.900063,0.7500525,0.900063,bucket_1,,False,0.055662,ETF_LS,1921.1637696195814,-640.3430991895839,1921.1637696195814,-640.3430991895839,1921.1637696195814,0.0,-0.0,1921.1637696195814,core_leveraged
MSTU,MSTR,1.966529,398,ols,0.228706,100000,0.228706,False,False,8.27239990234375,0.228706,1.0,False,True,False,False,False,False,False,False,False,1.354026,1.355349,1.086156,1.070057,0.68118,0.686807,0.0105,rex_shares,0.0,0.03595,0.486217,0.493532,True,1.086156,0.8574499999999999,0.8574499999999999,0.49163225,0.5899587,0.5,0.5899587,bucket_1,,False,0.228706,ETF_LS,5941.593515941207,-3021.3607406456795,5941.593515941207,-3021.3607406456795,39591.948169163195,0.0,-0.0,39591.948169163195,core_leveraged
NVDX,NVDA,1.997317,501,ols,0.189577,250000,0.189577,False,False,18.350000381469727,0.189577,1.0,False,True,False,False,False,False,False,False,False,0.673753,0.674435,0.40613,0.399213,0.337567,0.336251,0.0105,rex_shares,0.0,0.03595,0.159847,0.158964,True,0.40613,0.216553,0.216553,0.49932925,0.5991951,0.5,0.5991951,bucket_1,,False,0.189577,ETF_LS,776.0500256671579,-388.5462476247676,776.0500256671579,-388.5462476247676,12205.75591975643,0.0,-0.0,12205.75591975643,core_leveraged
TSLT,TSLA,1.993028,501,ols,0.0905509999999999,15000,0.0905509999999999,False,False,18.40999984741211,0.0905509999999999,1.0,False,True,False,False,False,False,False,False,False,0.977379,0.968977,0.535015,0.523739,0.487462,0.486128,0.0105,rex_shares,0.0,0.03595,0.281339,0.280054,True,0.535015,0.444464,0.444464,0.498257,0.5979084,0.5,0.5979084,bucket_1,,False,0.0905509999999999,ETF_LS,4171.363814921776,-2092.978028869527,4171.363814921776,-2092.978028869527,17905.6283370756,0.0,-0.0,17905.6283370756,core_leveraged
BTCL,IBIT,2.006469,447,ols,0.0426529999999999,45000,0.0426529999999999,False,False,20.380699157714844,0.0426529999999999,1.0,False,True,False,False,False,False,False,False,False,0.886354,0.876654,0.429602,0.423083,0.439246,0.438288,0.0095,rex_shares,0.0,0.03595,0.240496,0.239647,True,0.429602,0.386949,0.386949,0.50161725,0.6019407,0.50161725,0.6019407,bucket_1,,False,0.0426529999999999,ETF_LS,4662.356457642463,-2323.662342972886,4662.356457642463,-2323.662342972886,16586.581428901547,0.0,-0.0,16586.581428901547,core_leveraged
ETU,ETHA,1.989797,372,ols,0.030029,70000,0.030029,False,False,7.629899978637695,0.030029,1.0,False,True,False,False,False,False,False,False,False,1.440854,1.453202,0.736329,0.72598,0.723748,0.729457,0.0095,rex_shares,0.0,0.03595,0.560905,0.569075,True,0.736329,0.7063,0.7063,0.49744925,0.5969391,0.5,0.5969391,bucket_1,,False,0.030029,ETF_LS,9110.15637920575,-4578.435076143823,9110.15637920575,-4578.435076143823,26260.672021204515,0.0,-0.0,26260.672021204515,core_leveraged
CCUP,CRCL,1.984956,175,ols,0.212327,550000,0.212327,False,False,5.164999961853027,0.212327,1.0,False,True,False,False,False,False,False,False,False,1.89642,1.945592,1.052185,1.005111,1.127605,1.177581,0.015,rex_shares,0.0,0.03595,1.293354,1.405971,True,1.125876,0.8398579999999999,0.913549,0.496239,0.5954868,0.5,0.5954868,bucket_1,,False,0.212327,ETF_LS,7082.637354758778,-3568.158364597895,7082.637354758778,-3568.158364597895,31042.533262193625,0.0,-0.0,31042.533262193625,core_leveraged
CRWU,CRWV,1.988876,185,ols,0.190975,100000,0.190975,False,False,10.15999984741211,0.190975,1.0,False,True,False,False,False,False,False,False,False,1.971817,1.938932,1.116396,1.087523,1.058953,1.073609,0.015,rex_shares,0.0,0.03595,1.15329,1.184025,True,1.126205,0.925421,0.93523,0.497219,0.5966628,0.5,0.5966628,bucket_1,,False,0.190975,ETF_LS,7911.5801534618395,-3977.9152413030474,7911.5801534618395,-3977.9152413030474,31042.804490835017,0.0,-0.0,31042.804490835017,core_leveraged
GOOX,GOOGL,1.977593,501,ols,0.016564,200000,0.016564,False,False,75.62449645996094,0.016564,1.0,False,True,False,False,False,False,False,False,False,0.562123,0.561696,0.210649,0.204786,0.288072,0.285707,0.0105,rex_shares,0.0,0.03595,0.125862,0.12455,True,0.210649,0.194085,0.194085,0.49439825,0.5932778999999999,0.5,0.5932778999999999,bucket_1,,False,0.016564,ETF_LS,2851.569768856092,-1441.9396553568365,2851.569768856092,-1441.9396553568365,4404.771713820222,0.0,-0.0,4404.771713820222,core_leveraged
MSFX,MSFT,2.00682,501,ols,0.072127,200000,0.072127,False,False,20.252199172973636,0.072127,1.0,False,True,False,False,False,False,False,False,False,0.496688,0.491456,0.192407,0.189367,0.244865,0.243771,0.0105,rex_shares,0.0,0.03595,0.107269,0.106729,True,0.192407,0.12028,0.12028,0.501705,0.602046,0.501705,0.602046,bucket_1,,False,0.072127,ETF_LS,777.2780190259815,-387.3182542659439,777.2780190259815,-387.3182542659439,2325.2161584797395,0.0,-0.0,2325.2161584797395,core_leveraged
NFLU,NFLX,1.991882,391,ols,0.0464339999999999,60000,0.0464339999999999,False,False,29.350000381469727,0.0464339999999999,1.0,False,True,False,False,False,False,False,False,False,0.681416,0.678031,0.243661,0.239746,0.336698,0.337295,0.0105,rex_shares,0.0,0.03595,0.158147,0.158544,True,0.243661,0.1972269999999999,0.1972269999999999,0.4979705,0.5975646,0.5,0.5975646,bucket_1,,False,0.0464339999999999,ETF_LS,2121.1095717630437,-1064.8771221202078,2121.1095717630437,-1064.8771221202078,3835.062517256086,0.0,-0.0,3835.062517256086,core_leveraged
ROBN,HOOD,2.012244,306,ols,0.102044,450000,0.102044,False,False,27.049999237060547,0.102044,1.0,False,True,False,False,False,False,False,False,False,1.328712,1.338767,0.755974,0.745849,0.661678,0.665931,0.0105,rex_shares,0.0,0.03595,0.492782,0.498532,True,0.755974,0.65393,0.65393,0.503061,0.6036731999999999,0.503061,0.6036731999999999,bucket_1,,False,0.102044,ETF_LS,6569.091544881226,-3264.560135292353,6569.091544881226,-3264.560135292353,17536.29622853402,0.0,-0.0,17536.29622853402,core_leveraged
DJTU,DJT,2.003478,285,ols,0.298906,800000,0.3475247180280252,False,False,1.7201999425888062,0.298906,1.162655543977121,False,True,False,False,False,False,False,False,False,1.256698,1.356779,0.820518,0.815219,0.641703,0.677348,0.0105,rex_shares,0.0,0.03595,0.460509,0.507772,True,0.820518,0.4729932819719747,0.4729932819719747,0.5008695,0.6010433999999999,0.5008695,0.6010433999999999,bucket_1,,False,0.3475247180280252,ETF_LS,776.8470461319711,-387.7492271599544,776.8470461319711,-387.7492271599544,776.8470461319711,0.0,-0.0,776.8470461319711,core_leveraged
RBLU,RBLX,2.018886,285,ols,0.106476,50000,0.106476,False,False,13.510000228881836,0.106476,1.0,False,True,False,False,False,False,False,False,False,1.121396,1.094909,0.504,0.497158,0.54628,0.542555,0.0105,rex_shares,0.0,0.03595,0.354058,0.349886,True,0.504,0.397524,0.397524,0.5047215,0.6056658,0.5047215,0.6056658,bucket_1,,False,0.106476,ETF_LS,3153.626399139356,-1562.062642040886,3153.626399139356,-1562.062642040886,3153.626399139356,0.0,-0.0,3153.626399139356,core_leveraged
SNOU,SNOW,2.002256,249,ols,0.011009,45000,0.011009,False,False,17.649999618530273,0.011009,1.0,False,True,False,False,False,False,False,False,False,1.038335,1.041488,0.391179,0.384805,0.517544,0.522318,0.0105,rex_shares,0.0,0.03595,0.31529,0.320271,True,0.390276,0.38017,0.379267,0.500564,0.6006768,0.500564,0.6006768,bucket_1,,False,0.011009,ETF_LS,5379.628016171501,-2686.783316504733,5379.628016171501,-2686.783316504733,5379.628016171501,0.0,-0.0,5379.628016171501,core_leveraged
