underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
IWM,TWM,-2.000793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWM,TZA,-2.996271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,BEZ,-2.002805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEEL,BTFL,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITE,LITZ,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYFT,LYFX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXON,AXUP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUR,AURU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELH,CELT,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLK,TECS,-2.996068,0.0,0.0,0.0,0.0,0.0,-0.14613228162266081,0.0,0.0,0.0,-0.14613228162266081
XLK,REW,-2.004676,0.0,0.0,0.0,0.0,0.0,-0.14613228162266081,0.0,0.0,0.0,-0.14613228162266081
XLK,FNGD,-2.917825,0.0,0.0,0.0,0.0,0.0,-0.14613228162266081,0.0,0.0,0.0,-0.14613228162266081
XLF,SKF,-1.998739,0.0,0.0,0.0,0.0,0.0,-0.2918296549831732,0.0,0.0,0.0,-0.2918296549831732
DIA,DXD,-2.002257,-24.50723037,0.0,0.0,0.0,0.0,-1.915,0.0,0.0,0.0,-26.42223037
DIA,SDOW,-2.999392,-26.86841554,0.0,0.0,0.0,0.0,-1.2449999999999999,0.0,0.0,0.0,-28.113415540000002
CLSK,CLSZ,-2.014015,342.45757941,-547.917226,0.0,0.0,0.0,-21.33,26.772182185290255,0.0,0.0,-200.01746440470976
MSTR,MSTZ,-2.002775,0.0,-308.4822,0.0,0.0,0.0,-2.2800000000000002,5.083041512588315,0.0,0.0,-305.67915848741166
MSTR,MSDD,-1.991748,0.0,-351.037072,0.0,0.0,0.0,-1.83,5.760143408312797,0.0,0.0,-347.1069285916872
CRCL,CRCD,-2.013434,0.0,-512.863394,0.0,0.0,0.0,-25.47,9.436621980036762,0.0,0.0,-528.8967720199632
QBTS,QBTZ,-1.996464,0.0,-998.923592,0.0,0.0,0.0,0.0,27.338068661453597,0.0,0.0,-971.5855233385464
NBIS,NBIZ,-2.028243,0.0,-1126.577904,0.0,0.0,0.0,0.0,34.50455207021353,0.0,0.0,-1092.0733519297864
CRWV,CORD,-2.008674,0.0,-1491.557608,0.0,0.0,0.0,-23.700000000000003,27.147454604731532,0.0,0.0,-1488.1101533952685
IREN,IREZ,-2.005574,0.0,-2467.878826,0.0,0.0,0.0,-52.32000000000001,32.650706955146234,0.0,0.0,-2487.548119044854
SMR,SMZ,-1.996271,-4712.27520309,-2275.831017,0.0,0.0,0.0,-35.31,36.72717248399173,0.0,0.0,-6986.689047606008
